id,name,address,lat,lng,spot_a,base_date,spot_a_sun_start,spot_a_sun_end,spot_b,spot_b_sun_start,spot_b_sun_end,image_url,notes
king_william_iv,King William IV,"6 Eyre St, Sneinton, NG2 4RG",52.9515,-1.1352,Terrace on the roof,2026-08-15,13:04,17:03,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,"Lovely friendly pub, serving food on thurs to Sat"
fox_and_grapes,Fox & Grapes,"21 Southwell Rd, NG1 1DL",52.9535,-1.139,Table on the left side of entrance,2026-08-15,07:25,11:35,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
neon_raptor,Neon Raptor,"Unit 14 Avenue A, Sneinton Market, NG1 1DT",52.954,-1.1394,Table on the left side of entrance,2026-08-15,11:31,19:51,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
liquid_light,Liquid Light,Robin Hood Industrial Est,52.9538,-1.1385,Font Bench,2026-08-15,18:58,20:16,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
bunkers_hill,Bunkers Hill,"36-38 Hockley, NG1 1FP",52.9545,-1.1418,Font Bench,2026-08-15,07:07,11:13,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lord_roberts,Lord Roberts,"24 Broad St, NG1 3AN",52.9554,-1.1444,Courtyard,2026-08-15,07:23,18:58,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lion_at_basford,Lion At Basford,"44 Mosley St, New Basford, NG7 7FQ",52.9774,-1.1712,Large garden area,2026-08-15,09:00,19:31,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
trip_to_jerusalem,Trip to Jerusalem,"1 Brewhouse Yard, NG1 6AD",52.9494,-1.1526,Beer Garden,2026-08-15,13:16,17:35,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
lincolnshire_poacher,Lincolnshire poacher,"161-163 Mansfield Rd, NG1 3FR",52.9628,-1.1504,Courtyard,2026-08-15,14:27,17:13,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
sir_john_borlase,Sir John Borlase Warren,"1 Ilkeston Rd, Canning Circus, NG7 3GD",52.9567,-1.1611,Terrace at back of pub,2026-08-15,14:49,17:34,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
blue_monkey,Blue Monkey,"10 Pentrich Rd, Giltbrook, NG16 2UZ",53.0035,-1.2721,Font Bench,2027-08-15,07:00,11:00,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_angel,The angel,"7 Stoney St, NG1 1LG",52.9534,-1.1434,Table in front of pub,2026-08-15,15:15,16:55,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
junkyard_and_kilpin,Junkyard/kilpin,"12 Bridlesmith Walk, NG1 2FZ",52.9525,-1.1472,Down an alley,2026-08-15,12:24,14:58,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
pitcher_and_piano,Pitcher and Piano,"High Pavement, NG1 1HN",52.9515,-1.1445,Terrace at back of pub,2026-08-15,13:22,18:46,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
navigation,Navigation,"6 Wilford St, NG2 1AA",52.9478,-1.1517,Canelside Seating,2026-08-15,10:22,18:51,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
bodega,bodega,"23 Pelham St, NG1 2ED",52.9543,-1.1465,Table on the right side of entrance,2026-08-15,12:10,14:09,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_magic_garden,The magic garden,"24-26 Low Pavement, NG1 7DL",52.9511,-1.1468,Tables in alley,2026-08-15,12:25,13:59,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
another,Another,"9 Trinity Walk, NG1 2AN",52.9549,-1.1487,Roof,2027-08-15,16:27,19:02,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_pelcian_club,The Pelcian Club,"55 St Mary's Gate, NG1 1PU",52.9523,-1.1436,Courtyard,2026-08-15,16:46,18:56,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
the_playhouse,Playhouse,"Wellington Circus, NG1 5AL",52.9539,-1.1554,Table in front of pub,2026-08-15,12:33,17:07,,,,https://images.squarespace-cdn.com/content/v1/619b8076e2c94b7f4d8ceae9/b6fcea50-f327-44a5-a3c1-c52a6c2a8ac3/Nottingham-City-Old+Trip+(16+of+28).jpg,
